iter	Passed	Remaining
0	141	70831
1	264	65857
2	367	60945
3	498	61873
4	620	61467
5	753	62010
6	872	61432
7	988	60808
8	1108	60463
9	1235	60523
10	1432	63701
11	1547	62924
12	1681	62999
13	1790	62153
14	1907	61663
15	2035	61569
16	2227	63282
17	2338	62623
18	2453	62114
19	2566	61597
20	2682	61189
21	2802	60898
22	2915	60469
23	3031	60126
24	3144	59736
25	3273	59674
26	3424	60000
27	3561	60042
28	3685	59861
29	3809	59688
30	3929	59445
31	4060	59380
32	4176	59097
33	4290	58798
34	4402	58493
35	4532	58424
36	4664	58366
37	4777	58085
38	4891	57817
39	5010	57616
40	5123	57362
41	5239	57133
42	5355	56920
43	5464	56629
44	5589	56516
45	5707	56331
46	5825	56143
47	5968	56205
48	6101	56154
49	6224	56021
50	6367	56054
51	6484	55866
52	6610	55756
53	6754	55784
54	6880	55673
55	7014	55615
56	7146	55540
57	7277	55461
58	7404	55345
59	7525	55188
60	7662	55142
61	7805	55144
62	7939	55070
63	8073	54997
64	8206	54918
65	8327	54759
66	8450	54610
67	8564	54410
68	8687	54267
69	8819	54177
70	8946	54056
71	9068	53907
72	9186	53737
73	9318	53646
74	9443	53515
75	9570	53394
76	9698	53277
77	9825	53157
78	9944	52995
79	10067	52853
80	10196	52742
81	10317	52593
82	10445	52479
83	10583	52415
84	10709	52285
85	10831	52142
86	10952	51994
87	11083	51891
88	11203	51737
89	11331	51620
90	11461	51514
91	11578	51346
92	11700	51205
93	11824	51072
94	11945	50925
95	12067	50785
96	12187	50634
97	12309	50495
98	12441	50394
99	12559	50236
100	12689	50129
101	12820	50023
102	12949	49912
103	13067	49756
104	13186	49606
105	13304	49453
106	13432	49335
107	13561	49222
108	13688	49101
109	13810	48964
110	13934	48834
111	14059	48706
112	14181	48567
113	14303	48431
114	14417	48267
115	14546	48155
116	14671	48026
117	14790	47881
118	14909	47736
119	15038	47621
120	15163	47496
121	15290	47374
122	15410	47233
123	15541	47125
124	15665	46995
125	15802	46904
126	15931	46791
127	16062	46680
128	16193	46570
129	16323	46459
130	16448	46333
131	16582	46230
132	16698	46078
133	16820	45943
134	16937	45792
135	17064	45672
136	17184	45532
137	17306	45397
138	17428	45263
139	17556	45146
140	17681	45018
141	17808	44898
142	17932	44768
143	18049	44622
144	18178	44506
145	18303	44379
146	18432	44264
147	18554	44128
148	18692	44034
149	18815	43903
150	18945	43787
151	19066	43652
152	19193	43529
153	19315	43396
154	19432	43251
155	19552	43115
156	19673	42982
157	19790	42837
158	19912	42705
159	20034	42572
160	20157	42443
161	20290	42334
162	20407	42191
163	20537	42076
164	20665	41956
165	20795	41840
166	20912	41699
167	21030	41561
168	21160	41443
169	21279	41307
170	21402	41177
171	21524	41047
172	21650	40922
173	21789	40824
174	21910	40690
175	22037	40569
176	22155	40430
177	22282	40308
178	22406	40181
179	22528	40050
180	22648	39916
181	22773	39791
182	22910	39685
183	23030	39553
184	23157	39429
185	23276	39294
186	23397	39163
187	23528	39047
188	23654	38924
189	23774	38789
190	23901	38667
191	24036	38559
192	24173	38451
193	24296	38323
194	24430	38211
195	24553	38083
196	24675	37952
197	24793	37815
