iter	RMSE
0	66249.58756
1	57180.19017
2	50584.30979
3	45702.50045
4	41103.53531
5	38203.11275
6	36158.79475
7	34270.11103
8	33820.48618
9	33197.01139
10	31895.03813
11	30962.67118
12	29971.45625
13	28718.0057
14	28532.3219
15	27587.80337
16	26861.7855
17	26391.78233
18	25622.66849
19	25179.5554
20	24687.83377
21	24259.71473
22	23409.98691
23	22939.71564
24	22491.07707
25	21934.6345
26	21400.72464
27	20596.85516
28	20457.69497
29	20328.39218
30	20125.86913
31	19708.00057
32	19247.61404
33	18993.4287
34	18873.98486
35	18462.62887
36	18327.51447
37	18185.45913
38	17807.4378
39	17501.51198
40	17395.80211
41	17113.00472
42	16856.0972
43	16567.63245
44	16486.36356
45	16361.62835
46	16087.76898
47	16013.598
48	15946.65512
49	15835.98184
50	15746.35184
51	15682.64073
52	15407.43082
53	15086.0618
54	15001.85398
55	14920.08109
56	14792.00689
57	14735.42743
58	14659.84286
59	14607.35335
60	14338.93627
61	14111.76925
62	14062.97675
63	13770.97459
64	13509.25377
65	13282.3895
66	13211.19496
67	13164.61661
