iter	Passed	Remaining
0	123	123186
1	154	77303
2	219	73044
3	284	70826
4	351	69863
5	446	74029
6	538	76456
7	638	79113
8	686	75571
9	720	71288
10	767	69003
11	820	67539
12	873	66283
13	915	64474
14	958	62909
15	999	61477
16	1053	60907
17	1121	61191
18	1161	59995
19	1201	58856
20	1241	57868
21	1281	56958
22	1321	56152
23	1376	55969
24	1424	55556
25	1474	55243
26	1520	54778
27	1565	54340
28	1604	53736
29	1640	53039
30	1679	52504
31	1718	51998
32	1750	51301
33	1797	51075
34	1838	50696
35	1868	50044
36	1903	49538
37	1943	49196
38	1964	48400
39	2007	48187
40	2048	47921
41	2091	47697
42	2128	47382
43	2171	47182
44	2227	47274
45	2278	47251
46	2317	46984
47	2356	46739
48	2394	46479
49	2436	46302
50	2481	46176
51	2521	45961
52	2560	45747
53	2599	45542
54	2638	45339
55	2684	45246
56	2724	45075
57	2767	44954
58	2808	44791
59	2852	44696
60	2895	44566
61	2933	44386
62	2974	44245
63	3019	44157
64	3068	44136
65	3115	44085
66	3154	43928
67	3198	43839
68	3244	43775
69	3298	43819
70	3342	43732
71	3382	43601
72	3421	43449
73	3460	43304
74	3504	43219
75	3563	43326
76	3624	43442
77	3661	43284
78	3702	43159
79	3712	42691
80	3750	42555
81	3791	42441
82	3831	42327
83	3865	42156
84	3905	42041
85	3968	42174
86	4013	42116
87	4050	41973
88	4077	41737
89	4121	41670
90	4163	41585
91	4208	41531
92	4244	41392
93	4281	41265
94	4311	41070
95	4344	40915
